Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
"Concours pour le temple de Saint-Jacques et des locaux scolaires, En Chissiez, Lausanne, jugement",,"Léman, avenue du",,,,Lausanne,,Vaud,01.02.1962,06.03.1962,,"Extraits du rapports du jury BTSR 1962 p.213. Délibérations les 1,13,15,20,22 février et 6 mars. Le jury ne recommande pas l'exécution de l'un des projets et propose au maître de l'ouvrage de demander une nouvelle étude aux auteurs des 1er, 2e et 3e prix. Pas d'indication du nombre de projets remis dans le BTSR.  1er prix 4'500.-  2e prix 4'000.-  3e prix 3'800.-  4e prix 3'400.-  5e prix 2'300.-  Un achat 2'000.- (au projet n°3 disqualifié pour anticipation trop important sur les alignements)","Zolla, René +;Brugger, Albert;Jaunin, Georges +;Favre, Michel;Thévenaz, Charles-François &;Prod'hom, Pierre &;Bonanomi, Lydia +;Schaffner, Hans +;Rolf, Ernst, coll.;Okolski, Laurent d';Maillard, Marcel &;Maillard, Jacques &;Vallotton, Paul",Achat;Achat;Achat;4e prix;1er  prix;1er  prix;Achat;3e prix;1er  prix;3e prix;2e prix;2e prix;1er  prix,,
"Concours pour la Banque Populaire de la Broye, à Payerne, jugement",,,,,,Payerne,,Suisse,01.03.1920,02.03.1920,,"Rapport du jury BTSR p.222,235,246. Vingt-cinq projets reçus, tous dans les délais. 1er prix 2'000.-  Deux 2e prix ex a. 1'500.-  3e prix 1'000.-  Un achat (auteur inconnu)","Chapallaz, René;Huguenin, Fritz +;Schorp, Alphonse +;Epitaux, Georges;Laverrière, Alphonse","Juré, suppléant;4e prix ex aequo;4e prix;Juré;",,
"Concours pour la Banque Populaire de la Broye, à Payerne, jugement",Commerce,,,,,Payerne,,Suisse,01.03.1920,02.03.1920,,"Rapport du jury BTSR p.222,235,246. Vingt-cinq projets reçus, tous dans les délais. 1er prix 2'000.-  Deux 2e prix ex a. 1'500.-  3e prix 1'000.-  Un achat (auteur inconnu)","Epitaux, Georges;Chapallaz, René;Laverrière, Alphonse","Juré;Juré, suppléant;",,0002.MIGRATION/400001 ; 0002.MIGRATION/330001
"Concours pour la reconstruction du pont de Zaehringen à Fribourg, jugement",,,,,,Fribourg,,Suisse,01.03.1921,02.03.1921,,"BTSR 1922 p.115. ""La Direction des Travaux publics a ouvert en automne 1920 une soumission restreinte avec concours facultatif entre des maisons suisses et étrangères spécialisées dans la construction de des ponts"". Deux projets officiels Arnodin, pont suspendu et Jaeger & Lusser, pont en béton) sont présentés aux concurrents comme base de leur travail, ""toutefois les concurrents furent autorisés à présenter à titre de variante un projet propre qui devait être indemnisé à raison de 500.-"". Quinze équipes participent. Dix-neuf variantes nouvelles. Equipes connues par le BTSR:  1) Maillart/Zschokke Genève;2) Paris/Hertling/Fischer/Hogg      3) Zschokke Döttingen  ;A noter que la Commission des experts proposera un projet qui sera choisi pour l'exécution","Zschokke, Conrad AG;Hertling +;Fischer & +;Maillart & Cie;Zschokke, Conrad SA;Hogg & +;Paris, Adrien +",Concurrent;Concurrent;Concurrent;Concurrent;5e prix;Concurrent;Concurrent,,
Concours pour le Pénitencier de Bochuz (Plaine de l'Orbe),,Bochuz,,,,Orbe,,Vaud,01.03.1924,15.05.1924,,Description du concours BTSR 1924 p.64. Ouvert par le Département des travaux publics entre les architectes vaudois ou suisses régulièrement établis dans le canton depuis trois ans,"Suter, Rudolf;Kellerhals, M;Braillard, Maurice;Dufour, J;Bron, Eugène;Bonjour, Charles-François","Juré;Juré;2e prix;Juré, président;Assiste au jury;Juré",,
"Concours d'idées pour un centre municipal d'éducation physique et de sports dans le quartier des Vernets, à Genève, jugement",,"Acacias, route des",,,,Genève,,Genève,01.03.1944,06.03.1944,,"Extrait du rapport du jury BTSR 1944 p.113. Délibérations les 1,2,3,4,5 et 6 mars. Vingt projets remis.  1er prix 5'000.-  2e prix 4'500.-  3e prix 3'200.-  4e prix 2'800.-  5e prix 2'500.-  6e prix 2'000.-","Nierlé, Pierre +;Hoechel, Arnold +;Bosonnet, J;Tschäppät, Ad;Magnin, Edmond +;Torcapel, Anne +;Lozeron, Arthur +;Martin, Ernest +;Erb, Jean +;Paré, J.-L, coll.",2e prix;3e prix;3e prix;4e indemnité;3e prix;5e prix;3e prix;3e prix;3e prix;1er  prix,,
"Concours d'idées pour un abattoir, à Nyon, jugement",,,,,,Nyon,,Suisse,01.04.1927,02.04.1927,,Rapport du jury BTSR 1928 p.65 et 77. Trente et un projets remis dans les délais. 1er prix 1'200.-  2e rprix 1'000.-  3e prix 700.-  4e prix 600.- ,"Baumann, Walter;Schorp, Alphonse;Genoud, Louis;Virieux, Edmond +;Baud +",6e prix;3e prix;4e prix;1er  prix;1er  prix,,
Concours de la Société pour l'amélioration du logement (section romande),,,,,,,,,01.05.1920,25.06.1920,,"Ouvert par l'association entre les architectes domiciliés ""sur le territoire de la Section romande"", Jura bernois compris, pour la création de types d'habitations économiques ","Chapallaz, René;Martin, Camille;Freymond, Arthur;Mayor, A;Braun, Charles;Laverrière, Alphonse","Juré, suppléant;Juré;Juré;Juré;Suppléant;",,
"Concours (2e degré) pour le parlement fédéral à Berne, jugement",,,,,,Bern,,Suisse,01.06.1891,03.06.1891,,"Séances de la commission les 1,2 et 3 juin. Celle-ci ne départage pas les deux concurrents. Rapport de la commission SBZ vol. XVII p.149, voir également p.140,148,160 et 162. Le 30 juin 1891 le Conseil fédéral décide de mandater Hans Auer pour l'étude de l'exécution. Description du projet définitif SBZ 1892 vol. XIX p.172","Bluntschli, Friedrich;Auer, Hans",Juré;Juré,,
"Concours pour un nouvel Hôtel des Postes et Télégraphes à Zürich, jugement",,Stadthausquai,Fraumünsterstrasse,,,Zürich,,Zurich,01.06.1892,02.06.1892,,"Rapport du jury SBZ vol.XX p.30. Voir auissi SBZ vol. XX p.4,11,17,19, vol. XXI p.167 et vol. XXII p.56,166.  Vingt-sept projets remis (la SBZ juge ce nombre relativement faible vis à vis des concours de St. Gallen (59), Luzern (48) et Genève (40)). Pas de premier prix.  2e prix 2'800.-   Trois 3e prix ex aequo 2'000.-  4e prix 1'200.-  C'est en définitive Schmidt-Kerez qui est chargé de l'exécution sur la base d'un projet remanié","Meyer, Eugène;Schmid-Kerez, E;Jost, Eugène;Romang, Alfred;Koch, Alexander",2e prix;4e prix;3e prix ex aequo;3e prix ex aequo;3e prix ex aequo,,
