Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
"Concours pour le nouveau Bâtiment aux Voyageurs, à Neuchâtel",,,,,,Neuchâtel,,Suisse,30.06.1930,01.07.1930,,"Extrait du rapport du jury BTSR 1930 p.255,280 et 292. Vingt-neuf projets remis, tous dans les délais. Pas de premier prix, les résultats du concours ne donnant ""pas entière satisfaction"".  2e prix 3'500.-  3e prix 3'200.-  4e prix 2'000.-  5e prix  1'300.-  6e prix 1'000.- ","Calame, Edmond +;Decker, Fernand +;Wavre, François &;Carbonnier &;Huguenin, Fritz;Cellier, Eugène;Prince, Ernest &;Béguin, Jacques &",2e prix;2e prix;1er  prix;1er  prix;2e prix;5e prix;2e prix ex aequo;3e prix,,
"Concours pour l'utilisation des terrains du Cercle de Beau-Séjour, à Lausanne, jugement",,,,,,Lausanne,,Suisse,30.07.1903,31.07.1903,,"Rapport du jury: BTSR 1903, p.240. Six projets reçus,trois primés.  Montants des prix: ;Baud & Hoguer: 150.-    Isoz: 125.-    Epitaux: 125.-","Baud, Albert &;Hoguer, François-Charles &;Isoz, Francis;Epitaux, Georges",Primé;Primé;Juré;Juré,,
Concours pour un bâtiment destiné à l'Ecole supérieure de jeunes filles de la Ville de Lausanne,,"Druey, avenue","Orphelinat, chemin de","Porchat, chemin",,Lausanne,,Vaud,30.07.1945,31.10.1945,A. cantonal,"Ouvert par la Municipalité, probablement entre les architectes vaudois ou domiciliés dans le canton (pas d'indication à ce sujet). Roux participe-t'il aux délibérations? Quelques absences des jurés au cours des six séances, sans que le nombre des jurés soit inférieur à sept.  ;""M. J. Peitrequin étant obligé, de par ses fonctions, de s'absenter parfois, le jury, unanime, désigne comme président effectif M. R. Bonnard, architecte""","Monneyron, Marc-Louis;Piccard, Marc;Addor, Jules-Henri;Panchaud, Georges;Roux, Louis 4;Haemmerli, Gustave;Peitrequin, Jean;Bonnard, René;Tschumi, Jean;Laverrière, Alphonse","Juré;Juré;Juré;Juré;Suppléant;Juré;Juré, président;2e prix;Architecte;",,
Concours pour un bâtiment destiné à l'Ecole supérieure de jeunes filles de la Ville de Lausanne : Collège du Belvédère,Enseignement et recherche,"Druey, av","Porchat, ch","Orphelinat, ch de l'",,Lausanne,,Vaud,30.07.1945,31.10.1945,Vaudois et domicilié,"Ouverture: 15 juillet 1945;Rapport du Jury : 3 décembre 1945;Ouvert par la Municipalité, probablement entre les architectes vaudois ou domiciliés dans le canton (pas d'indication à ce sujet). Roux participe-t'il aux délibérations? Quelques absences des jurés au cours des six séances, sans que le nombre des jurés soit inférieur à sept.  ;""M. J. Peitrequin étant obligé, de par ses fonctions, de s'absenter parfois, le jury, unanime, désigne comme président effectif M. R. Bonnard, architecte"".;Concours abandonné, voir deuxième concours en1948: Concours pour l'étude d'un groupe scolaire à l'intention de l'Ecole supérieure de jeunes filles, du Gymnase de jeunes filles, d'une école enfantine et d'une garderie d'enfants.","Monneyron, Marc-Louis;Panchaud, Georges;Haemmerli, Gustave;Bonnard, René;Tschumi, Jean;Addor, Jules-Henri;Piccard, Marc;Peitrequin, Jean;Roux, Louis;Laverrière, Alphonse","Juré;Juré;Juré;2e prix;Architecte;Juré;Juré;Juré, président;Juré, suppléant;",0002.03.0023,0207.04.0002/5
"Concours pour un terrain de sports à Cully, jugement",,,,,,Cully,,Vaud,30.08.1946,,,"Pas d'extrait du rapport du jury dans le BTSR, ni d'indication du nombre de projets remis.  1er prix 550.-  2e prix 400.-  3e prix 200.-","Rey, J;Dompierre, Jean de +;Schmid, René +;Cruchet, William +;Calame, Bernard",2e prix;3e prix;Indemn. 1er rang;3e prix;1er  prix,,
"Concours restreint pour la construction d'un collège à Tramelan, jugement",,,,,,Tramelan,,Suisse,30.08.1955,02.09.1955,,"Pas d'extrait de rapport du jury dans le BTSR, chercher dans SBZ. Pas d'indication du nombre de projets remis ni du nombre d'architectes invités. 1er prix 1'600.-  2e prix 1'400.-  3e prix 1'200.-  4e prix 800.-","Reinhard, Gret &;Reinhard, Hans &;Kleiber, Charles;Brechbühler, O;Leuzinger, Claude",2e prix;2e prix;1er  prix;4e prix;1er  prix,,
Concours pour les bâtiments de l'Exposition nationale suisse de Genève,,,,,,Genève,,Suisse,30.09.1893,31.01.1894,A. national,"Brève description du programme SBZ vol. XXII p.91, voir aussi p.112, 118,153. Ouvert entre les architectes suisses uniquement","Vögeli-Bodmer;Bourdillon, André Marcel;Auer, Hans;Goss, Jacques-Elysée;Brocher, Gustave;Rouge, Georges",Juré;Juré;Juré;Juré;Juré;Juré,,
Concours pour la reconstruction des villages incendiés de Torgon et de Lourtier,,,,,,Lourtier,,Suisse,30.11.1929,15.01.1930,,"Ouvert entre les techniciens, architectes, ingénieurs et géomètres du canton du Valais et des cantons voisins de Vaud, Genève, Fribourg, Neuchâtel, Berne, Uri, Grisons et Tessin. Pas d'indication des résultats dans le BTSR, Braillard et Closuit participent-ils au jury?","Schmid, Karl;Troillet, M;Hartmann, Niklaus;Morand, J;Kaufmann, M;Huber, O;Closuit, A;Braillard, Maurice;Kalbermatten, Alphonse de",Juré;Juré;Juré;Juré;Juré;Juré;Suppléant;2e prix;Juré,,
"Concours pour une grande salle et salle de concerts, à Lausanne-385",,"Montbenon, promenade de",,,,Lausanne,,Vaud,30.11.1944,28.05.1945,A. cantonal,"Concours (également dénommé  ""Grande salle et salle Paderewski"")  à deux degrés ouvert par la Municipalité entre les architectes vaudois ou suisses domiciliés dans le canton avant le 30.11.1943. Extrait du règlement BTSR 1946 p.257. Délai du rendu au 30.4 et prolongé (BTSR 14.4.1945) au 28.5.1945. ;Voir BTSR 1944 p.107 et 319. Amann et Pilet participent probablement aux délibérations","Decker, Fernand;Monneyron, Marc-Louis;Béboux, Eugène;Addor, Jules-Henri;Guyonnet, Adolphe;Okolski, Eugène d';Peitrequin, Jean;Amann, Marius;Pilet, Alexandre;Bonnard, René;Tschumi, Jean;Laverrière, Alphonse","Juré;Juré;Juré;Juré;Juré;Juré;Juré, président;Juré, suppléant;Juré;2e prix;Architecte;",,
Concours pour une église à Peseux (Neuchâtel),Religion,,,,,Peseux,,Suisse,30.11.1951,15.04.1952,"Restreint, sur invit",Concours ouvert par la paroisse catholique de Peseux entre cinq architectes. Extrait du progamme BTSR 1952 p. 189. Architectes invités: M. et Mme Maurice Billetter; Albert Cingria; Fernand Dumas; Mattey & Rosset; Marcel Waeber. Rapport du jury: 17 mai 1952;,"Studer, Werner;Decker, Fernand;Glasson, Louis;Laverrière, Alphonse;Bessero, Pierre;Calame, Edmond;Dubois, Jean","Juré;Juré;Juré;;Juré, suppléant;3e prix;Juré",0002.03.0025,
"Concours pour un ensemble paroissial catholique au Locle, jugement",,,,,,Le Locle,,Suisse,30.11.1964,09.12.1964,,Pas d'extrait de rapport du jury ni d'indication du nombre de projets remis ou de montant des primes dans le BTSR,"Oesch, Henri;Wurmet, Walo;Faessler, René;Lavizzari, Jean-Pierre",3e prix;2e prix;6e prix;1er  prix,,
Concours pour le nouvel hopital du Locle,,,,,,Le Locle,,Suisse,31.01.1891,30.04.1891,A. national,Ouvert par l'administration de l'hôpital du Locle au niveau national. Description du programme SBZ vol. XVII p.47. Le président du comité d'organisation est A. Perrenoud-Jurgensen,"Perrier, Louis;Rau, O;Ribaux, Auguste;Nicolas;Pittet, Sylvius;Perrenoud, A",Juré;Juré;Juré;Juré;4e prix ex aequo;,,
"Concours pour l'agrandissement de l'asile St-Josefsheim, à La Souste(Loèche), jugement",,,,,,Leuk,,Suisse,31.01.1929,02.02.1929,,"Rapport du jury BTSR 1929 p.236 et 247. Reproduction du 1er prix BTSR 1930 p.6. Vingt-deux projets remis, tous dans les délais. 1er prix 2'000.-  2e prix 1'200.-  3e prix 800.-","Bournoud, Paul +;Gross, Henry +;Stöcklin, Ernst;Stöcklin, José",1er  prix;1er  prix;5e prix ex aequo;1er  prix,,
"Concours pour une maison des Congrès, à Genève",,,,,,Genève,,Suisse,31.01.1959,08.05.1959,,"Ouvert par le Conseil administratif de la Ville entre les architectes suisses, domiciliés en Suisse, inscrits au registre suisse des architectes. Extrait du programme BTSR 1959 p.237","Marais, André;Geisendorf, Charles-Edouard;Beaudouin, Eugène Elie;Honegger, Jean-Jacques;Nervi, Pier Luigi;Moser, W;Ducret, Jean;Minoletti, G;Zehrfuss, Bernard;Thévenaz, Maurice;Nicole, M;Dutoit, Jean;Dussoix, A;Palthey, G;Cottier, F;Ducor, Louis","Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Voix cons.,président;Voix consultative;Voix consultative;Voix consultative;Voix consultative;Voix consultative;Secrétaire",,
"Concours d'idées A. pour la place des Nations et B. la place devant l'entrée de la salle des assemblées de la SDN, à Genève-64",,"Nations, place des",,,,Genève,,Genève,31.03.1934,15.05.1934,Cantonal,"Ouvert par le canton entre les architectes, ingénieurs, peintres, sculpteurs et techniciens ""de nationalité genevoise"" ou domiciliés à Genève depuis le 1er janvier 1934. Brève description du programme des deux concours BTSR 1934 p.171","Bernoulli, Hans;Rohn, Roland;Blanchet, Alexandre;Bovy, Gabriel;Jaggi, Luc;Braillard, Maurice;Favarger, Jacques",Juré;Juré;Juré;Juré;2e prix;2e prix;Juré,,
"Concours de projets pour le centre scolaire de La Souste, Loèche-Ville",,,,,,Leuk/Loèche,,Suisse,31.03.1973,31.07.1973,,Ouvert pour l'école primaire de Susten/La Souste par l'adminstration communale entre les architectes ou architectes-techniciens valaisans ou établis ou domiciliés dans le canton dès avant le 1.3.1972 ,"Gnägi, Albert;Anderegg, Ernst;Zumstein, Robert;Lanzrein, Peter;Lochen, Aloïs;Marty, Herbert;Lorétan, William;Iten, Joseph;Zimmermann, Charles;Mathieu, Régina","Juré;Juré;Juré;1er  prix;Juré;Juré;Juré;Juré, suppléant;Juré;Juré, suppléante",,
"Concours (2e degré) pour la construction d'un musée central à Genève, jugement",,,,,,Genève,,Suisse,31.05.1901,21.06.1901,,"Rapport du jury BTSR 1901, p. 164 (extrait, l'ensemble du rapport représente une brochure de 32 pages). Voir aussi SBZ 28.9.1901 p.141. Quarante-trois projets reçus, dont quarante-deux répondant aux conditions du concours. 1er prix 3'000.-  2e prix 2'800.-  3e prix 2'000.-  4e prix 1'700.-  5e prix 1'500.-. En 1907, Marc Camoletti complétera son projet par celui des aménagements extérieurs, proposant de raser l'Observatoire et sa butte pour créer un parc, voir BTSR 1907 p.106 et 146 ","Morsier de frères, F. & H. &;Weibel, Charles &;Saulnier +;Bordigoni, Alexandre +;Meyer, Henri &;Regamey, Jaques &;Camoletti, Marc;Fatio, Edmond",3e prix ex aequo;3e prix ex aequo;4e prix;Invité;4e prix;4e prix;Juré;Juré,0138.01.0007,
"Concours des projets de façade des nouveaux bâtiments de la gare à voyageurs de Lausanne, projet AL",,"Gare, pl de",,,,Lausanne,,Vaud,31.05.1908,,Suisses et établis en Suisse,"Les architectes Taillens et Dubois, Monod et Laverrière obtiennent le 1er prix pour leur projet ""A. P. S."";BTSR 1908 p.161-163","Laverrière, Alphonse & +;Dubois, Charles & +;Monod, Eugène & +;Taillens, Jean & +",Architecte;Architecte;Architecte;Architecte,,
"Concours restreint pour un nouvel Hôtel de la Banque nationale à Zürich, jugement",,,,,,Zürich,,Zurich,31.05.1917,03.06.1917,,"Le jury se réunit les 2 et 3 juin. Rapport du jury BTSR p.166, 187 et195. Le jury est identique à celui du premier concours. Les dix équipes concurrentes retenues lors du dernier tour du concours précédent ont été invitées à ce concours restreint ","Schucan &;Pestalozzi &;Froelich, Albert;Freytag &;Müller &;von Senger, Alexander;Vogelsanger, Hans +;Maurer, Albert +;Pfister, Otto &;Herter, Hermann;Weideli, Hermann &;Haefeli, Max &;Bischoff, Robert &;Pfleghard, Otto &;Messmer frères",3e rang;3e rang;7e rang;8e rang;8e rang;4e rang;5e rang;5e rang;1er rang;2e rang;6e rang ex aequo;2e prix ex aequo;6e rang ex aequo;2e prix ex aequo;6e rang ex aequo,,
Concours pour des bâtiments scolaires à Corsier,Groupe scolaire,,,,,Corsier,,Suisse,31.05.1974,,,,"Brera, Georges;Waltenspühl, Paul",;,0015.04.0111,
"Concours pour l'Institut d'anatomie pathologique et la Chapelle de l'Hôpital cantonal, à Lausanne",,"Bugnon, rue du",,,,Lausanne,,Vaud,31.07.1937,30.10.1937,Cantonal,Ouvert par le Département des travaux publics entre les architectes vaudois ou suisses domiciliés dans le canton depuis trois ans,"Thévenaz, Charles;Nicod, J.-L;Guyonnet, Adolphe;Freundler;Rybi, Eduard (II);Decker, Fernand;Demiéville;Nicoud;Epitaux, Georges","Juré, président;Juré;Juré;Juré;Juré;Juré;Juré, président;Voix consultative;Juré",,
"Concours pour l'agrandissement de l'Infirmerie d'Yverdon, jugement",,,,,,Yverdon,,Suisse,31.08.1935,,,"Extrait du rapport du jury BTSR 1936 p.6 et 19. Onze projets remis dans les délais.  1er prix 2'000.-  2e prix 1'400.-  3e prix 900.-  4e prix 700.-  Robert Pilloud était classé au 2e rang avant d'être disqualifié ""ne remplissant pas les conditions prévues à l'art.1 du programme""","Hugli, Jean;Pilloud, Louis;Duvoisin, André;Décoppet, Horace;Pilloud, Robert",1er  prix;3e prix;2e prix;1er  prix;3e prix,,
Concours pour un nouvel Hôtel des Postes et Télégraphes à Zürich,,Kratzquartier,,,,Zürich,,Zurich,31.10.1891,15.05.1892,A. national,"Ouvert par la confédération entre les architectes suisses ou établis en S. Concours annoncé et attendu (SBZ vol. XIV p.146, vol. XV p.24, vol. XVII p.94 et 102). Extrait du programme SBZ 1891 vol. XVIII p.140, correctif p.166","Walser, Friedrich;Camoletti, John;Höhn, E;Ernst, Heinrich;Flückiger, Arnold;Segesser, H. V;Bluntschli, Friedrich",Juré;Juré;Juré;Juré;Juré;Juré;Juré,,
Concours pour le Casino de Morges,,,,,,Morges,,Suisse,31.10.1896,15.01.1897,A. national,Ouvert par le Conseil communal entre les architectes suisses ou établis en Suisse. Description SBZ vol XXVIII p.129,"Baumgart, Ernst;Redard, V;Falconnier, Gustave;Rychner, Alfred;Juvet, Henri-Ed.-L",Juré;Juré;Concurrent;2e prix ex aequo;Juré,,
Concours pour l'Ecole des Beaux-Arts et une école primaire à Genève,,"Helvétique, boulevard","Casemates, boulevard des","Pin, promenade du",,Genève,,Genève,4.1899,15.08.1899,A. national,"Ouvert par le Conseil d'Etat entre les architectes suisses et établis en Suisse. La SBZ critique le fait que l'ouverture ce concours n'ait pas été publiée ailleurs qu'à Genève, ce qui de fait réduisait son envergure (SBZ 1900 vol XXXV p.60 voir aussi decription du programme)","Bourdillon, André Marcel;Châtelain, Léo;Goss, Jacques-Elysée;Junod, Henri;Bluntschli, Friedrich",Juré;Juré;Juré;Juré;Juré,,
"Concours pour l'hôpital de Sierre, jugement",,,,,,Sierre,,Suisse,4.1919,03.05.1919,,Pas d'indication du montant des primes individuelles (8'000.- au total)ni du nombre de participants dans le BTSR.,"Besson, C;Müller, Albert;Kalbermatten, Alphonse de;Bonnard, René",Juré;Juré;Juré;2e prix,,
"Concours pour un hôtel de la Banque Populaire Suisse, à Zürich, jugement",,,,,,Zürich,,Zurich,4.1919,,,"40 projets reçus. Pas d'indication des résultats dans le BTSR, chercher dans SBZ",,,,
"Concours pour un hôtel de la Banque Populaire Suisse, à Zürich, jugement",,,,,,Zürich,,Zurich,4.1919,,,"40 projets reçus. Pas d'indication des résultats dans le BTSR, chercher dans SBZ",,,,
"Concours restreint pour le plan d'extension de la commune de Spiez, jugement",,,,,,Spiez,,Suisse,4.1922,,,Pas d'indication du nombre de projets reçus (voir SBZ).  1er prix 2'200.-  2e prix 1'800.-  Indemnité de 500.- allouée aux architectes invités,"Hoechel, Arnold;von Gunten, Walter;Walther, R",2e prix;1er  prix;Juré,,
"Concours pour le plan d'avenir de la ville de Sion, jugement",,,,,,Sion,,Suisse,4.1928,,,Extrait du rapport du jury BTSR 1928 et 154. Pas d'indication de date de délibération du jury ni de nombre de projets remis ou de montant des primes,"Streiff, Egidius;Schütz, Joseph;Godet, Frédéric &;Rauchenstein, F;Gilliard, Frédéric &;Baumann, Walter;Schülin, F;Grindat, Ernest",3e prix ex aequo;2e prix;1er  prix;4e prix;1er  prix;6e prix;6e prix;1er  prix,,
"Concours pour une piscine à Gstaad, jugement",,,,,,Gstaad,,Suisse,4.1928,,,"Pas de rapport du jury dans le BTSR, voir SBZ.  Quatorze projets présentés. 1er prix 500.-  2e prix 300.-  3e prix 200.-","Hählen, E;Gross, Henry;Hefti, Beda",2e prix;3e prix;Ingénieur,,
"Concours pour le plan d'urbanisation de Lutry, jugement",,,,,,Lutry,,Vaud,4.193,,,Pas de rapport du jury dans le BTSR. Dix-huit projets remis.  1er prix 1'200.-  2e prix 1'000.-  3e prix 700.-  4e prix 600.-  5e prix 500.-,"Nibio +;Kellenberger +;Deluz, P;Renato, S;Chessex, L;Simon & Cie;Epitaux, Georges, bureau",2e prix;2e prix;3e prix;3e prix;4e prix;5e prix;1er  prix,,
"Concours bâtiment fédéral, à Berne",Administration,,,,,Berne,Berne,Suisse,4.1944,,,,,,0148.04.0611,
"Concours pour deux bâtiments d'administration à Berne, jugement",,Theodor Kocher Strasse,,Monbijoustrasse,,Bern,Berne,Suisse,4.1944,,,"Pas de rapport du jury dans le BTSR, ni d'indication de nombre de projets remis, chercher dans SBZ. Concours A) 1er prix 3'200.-  2e prix 2'300.-  3e prix 2'200.-  4e prix 2'000.-  5e prix 1'900.-  6e prix 1'400.-   Concours B) 1er prix 4'000.-  2e prix 3'600.-  3e prix 3'200.-  4e prix 3'000.-  5e prix 2'700.-  6e prix 2'500.-","von Gunten, Walter;Stücheli, W;Zamboni, G;Zürcher, R;Winzeler, E;Müller, H 3;Schopisser, A;Schwaar, Walter;Studer, H +;Neuenschwander, Fritz +;Müller, K;Reinhard, H &;Reinhard, G &;Baeschlin, G",1er  prix;2e prix;3e prix;3e prix;4e prix;4e prix;5e prix;1er  prix;6e prix;6e prix;6e prix;2e prix;2e prix;1er  prix,,
Concours d'avant-projets pour la reconstruction de l'Hôpital et des Policliniques de Genève,,"Cluse, boulevard de la",,,,Genève,,Genève,4.1944,15.01.1945,Invitation,"Mandat d'avant-projet confié en avril 1944 par le DTP à douze groupes d'architectes. Voir BTSR 1947 p.37. Une commission d'experts nommée par le Conseil d'Etat, composée d'H. Fietz, de J.-J. Mozer et d' A. Bodmer, est chargée le 27 août 1942 de procéder à des études préparatoires: elle produit deux rapports les 15.9.42 et 22.2.42, ainsi que des rapports complémentaires; elle préconise de confier l'étude à des architectes restant en contact avec elle (en évitant d'ouvrir un concours public ""en raison de l'énorme complexité des problèmes posés""); le DTP la charge par la suite de préparer un programme (base des avant-projets); le programme prévoyait également la création d'une Commission d'examen qui sera le jury du concours restreint","Genet, Ch;Bodmer, Albert;Bickel, G;Pugin, Antoine;Dutoit, H;Baur, Hermann;Rossier, P.-H;Steiger, Rudolf;Jentzer, Alcide;Rosselet, Ch;Lachenal, Adrien 2;Henssler, William;Lombard, A;Mozer, J.-J;Fietz, H;Beaudouin, Eugène Elie;Baumgartner, Max;Vierne, André;Casaï, Louis;Dubal, H;Moser, W.-M;Lachenal, Paul","Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Juré;Juré;Collaborateur;Juré, président;Juré, suppléant;Juré, suppléant;Juré, vice-président",,
"Concours pour un plan de quartier aux lieux dits ""Près du Lac, à Yverdon",,"Prés du Lac, lieu-dit",,,,Yverdon,,Vaud,4.1946,7.1946,Cantonal,"Ouvert par la Municipalité entre les architectes, ingénieurs, géomètres vaudois ou suisses domiciliés dans le canton avant le 1.1.1945. Quartier à caractère résidentiel excluant toute industrie ou atelier. Jeannet et Resin participent-ils aux délibérations?","Virieux, Edmond;Loup, Robert;Muriset, Albert;Gilliard, Michel;Resin, G;Jeannet, Claude;Decker, Fernand","3e rang;3e prix;Juré;Juré;Juré, suppléant;1er  prix;Juré",,
"Concours général d'idées pour la gare de Berne, jugement",,,,,,Bern,,Suisse,4.195,,,"Pas d'extrait de raport du jury dans le BTSR, chercher dans SBZ. Soixante-six projets remis. 1er prix 10'000.-  2e prix 9'600.-  3e prix 9'400.-  4e prix 8'000.-  5e prix 7'000.-  6e prix 6'000.-  Un achat 3'500.- (Senn/Grüner/Grüner)  Trois achats 3'000.- (Kissling/ Moser; Abbühl; Bridel/Thommen)  Cinq achats 2'000.- (Keller/Rudin/Hostettler/Fritz; Moser/Moser; Paeder/Haemmig; Engeli/Pahud/Bigar; del Fabro/del Fabro/Volmar)  Cinq achats 1'500.-(Volmar; von Sinner; Stöckli; Blauer/Suter/Zimmermann/Minacci; Frigerio) ","Wander, R, coll.;Jaussi, W;Haymoz, Jean-Paul;Bréguet, Alfred;Keller, René;Studer, H +;Zürcher, Rudolf +;Neuenschwander, Fritz +;Götti, O +;Notter, Albert +;Liechti, E +;Vischer, P &;Fiedler, K;Wasserfallen, Adolf +;Trachsel, Alf +;Bosshard, J +;Mätzener, H +;Suter, Jean +;Zimmermann, Charles +;von Tscharner, B, coll.;Volmar, Em;Sinner von;Stöcklin, A;Blauer, Eugène +;Kunz, H;Frigerio, G;Minacci, R +;Tschudin, Raymond, coll.;Minder, W;Keller, K +;Bigar, C &;Rudin +;Engeli, R &;Fritz, E +;Pahud, R 2 &;Päder, Karl +;Moser, H +;Moser, Friedrich +;Hämmig, W +;Del Fabro, O +;Del Fabro, Ed +;Hostettler, Hans +;Moser, P, coll.;Moser, H. W;Thommen, H. W +;Bridel, Philippe +;Kissling, O;Abbühl, W. A;Rohrer, O, coll.;Hösli, Ib, coll.;Grüner, frère 1 &;Grüner, frère 2 &;Senn, Otto;Züblin, Ed. & Cie",2e prix;2e prix;2e prix;3e prix;3e prix;6e prix;1er  prix;6e prix;5e prix;5e prix;5e prix;6e prix;6e prix;1er  prix;5e prix;5e prix;1er  prix;3e prix;Achat 1'500.-;Achat 1'500.-;6e prix;Achat 1'500.-;Achat 1'500.-;1er  prix;Achat 1'500.-;Achat 1'500.-;Achat 1'500.-;Achat 2'000.-;1er  prix;Achat 2'000.-;Achat;Achat 2'000.-;Achat;Achat 2'000.-;Achat;Achat 2'000.-;Achat 2'000.-;Achat 2'000.-;Achat 2'000.-;Achat 2'000.-;4e prix;Achat 1'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'000.-;Achat 3'500.-;Achat 3'500.-;Juré;4e prix,,
"Concours (2e degré) pour un bâtiment à l'usage de la Banque cantonale du Valais, à Sion, jugement",,,,,,Sion,,Suisse,4.1953,21.04.1953,,"Extrait du rapport du jury BTSR 1953 p.450. Deux projets remis, Zurbriggen d'une part, Perraudin et Suter regroupés d'autre part). Le jury ne tranche pas, considère que les deux projjets sont d'égale valeur et propose à la Banque d'engager les trois architectes à présenter un seul projet commun","Zurbriggen, Raymond;Zurbriggen, Raymond +;Perraudin, André +",3e prix;;3e prix,,
Concours Société Foncière du Saut du Doubs,,,,,,,,France,4.1954,,,Projet de création d'un centre touristique au Saut du Doubs (département du Doubs F);Concours d'idées.,"Wavre, François;Boutterin, Maurice;Cupillard, Maxime;Du Bois, Max;Labro, Georges",;;;;,0003.04.0148,0003.04.0148/1
Concours restreint pour un nouveau bâtiment scolaire à Tavannes (Jura bernois),,,,,,Tavannes,,Suisse,4.1954,25.09.1954,Invitation,Ouvert par la Municipalité entre six architectes invités. Extrait du règlement BTSR 1954 p.419. Beuchat assistait-il au jury?,"Türler, Heinrich;Bessire, G;Brechbühl, Otto;Rohr, P;Beuchat, A;Jutzeln, P;Decker, Fernand","Juré;Juré;Juré;Juré;Juré, suppléant;Juré, président;Juré",,
"Concours pour l'agrandissement de la Faculté des sciences de l'Université de Fribourg, jugement",,,,,,Fribourg,,Suisse,4.196,16.04.1960,,Pas d'extrait de rapport du jury dans le BTSR. Vingt et un projets examinés.  1er prix 3'500.-  2e prix 3'200.-  3e prix 3'000.-  4e prix 2'800.-  5e prix 2'600.-  6e prix 2'500.-  7e prix 2'400.-,"Füeg, Franz;Charrière, Roger;Glaus, Otto;Haymoz, Jean-Paul;Caillet, René;Pythoud, Jean;Antognini, Emilio",1er  prix;2e prix;7e prix;2e prix;6e prix;1er  prix;4e prix,,
"Concours pour une garderie d'enfants avec classes enfantines et aménagement d'une place de jeux pour enfants, à Montelly, Lausanne, jugement",,"Montelly, chemin de",,,,Lausanne,,Vaud,4.1961,,,"Pas de résultats ni de date de délibération dans le BTSR (le bâtiment a été réalisé, qualité remarquable)",,,,
"Concours d'urbanisme, à Istamboul",Urbanisme,,,,,Istamboul,,Turquie,4.1988,5.1988,,"Concours dont la dénomination n'est pas connue. Nous ne possédons que les plans d'études, les plans définitifs étant restés sur place selon l'inscription de l'emballage original. Des notes avec le titre ""Programme libre"" définit les composantes du projet, impliquant surfaces administratives et commerciales (banques, assurances, restaurants, supermarché), espaces sportifs (piscine couverte), centre de conférence, salle d'exposition. De manière générale, les différentes unités sont conçues sur un plan polygonal (surtout triangulaire), rayonnant de manière plus ou moins symétrique à partir d'un point central. L'esquisse la plus détaillée fait mention de bâtiments comportant jusqu'à 40 étages.","Gaillard, André",Architecte,0143.04.0393,
"Concours pour un centre primaire scolaire à Orsières, jugement",,,,,,Orsières,,Suisse,4.1989,,,Description des projets AWS 1990 n°3 (pas d'indication de dates de délibération). Trente-et-un projets remis.  1er prix 12'000.-  2e prix 9'000.-  3e prix 8'000.-  4e rang/achat 4'000.-  4e prix 7'000.-  5e prix 6'000.-  6e prix 5'000.-  7e prix 4'000.-,"Berclaz, Raphaël;Caravaglio, Marco;Bernard, Patrick, coll.;Bissegger, Ralph;Beck, Christian;Châtillon, Jean-Christophe;Widmer, Ariane &;Pham, Nicolas &;Lipp, Vincent, coll.;Berger, Alexandre, coll.;Devanthéry, Patrick &;Bionda, Lionel, coll.;Lamunière, Inès &;Kalbermatten, Romaine de &;Renaud, Philippe &;Vassaux, Raymond, coll.;Vassaux, Roland;Pannatier, Pascal, coll.;Clapasson, Maud;Woeffray, Denis &;Bonnard, Geneviève &;Lumens, H;Schnyder, M, coll.;Schweizer, Pierre;Wyer, Christof +;Theler, Raymond +","1er rang/1er achat, 3e prix;2e prix;2e prix;2e prix;1er  prix;2e prix;4e prix;4e prix;3e prix;3e prix;3e prix;3e prix;3e prix;5e prix;5e prix;6e prix;4e prix;6e prix;6e prix;7e prix;7e prix;1er rang/1er achat;1er rang/1er achat;1er rang/1er achat;4e rang/achat;4e rang/achat",,
